x,y,DISTANCE,n,risk,safe_first
2059,1165,143.6558387,2,1,risky first
2014,1186,49.65883607,2,1,risky first
1981,1021,168.2676439,2,1,risky first
1801,1069,186.2900964,2,1,risky first
1621,1249,254.5584412,2,1,risky first
1477,1429,230.5124725,2,1,risky first
1297,1456,182.0137357,2,1,risky first
1117,1504,186.2900964,2,1,risky first
937,1504,180,2,1,risky first
859,1504,78,2,1,risky first
844,1522,23.43074903,2,1,risky first
844,1582,60,2,1,risky first
844,1690,108,2,1,risky first
913,1870,192.7718859,2,1,risky first
1093,2050,254.5584412,2,1,risky first
1273,2230,254.5584412,2,1,risky first
1453,2320,201.246118,2,1,risky first
1528,2239,110.390217,2,1,risky first
1612,2059,198.6353443,2,1,risky first
1792,1879,254.5584412,2,1,risky first
